time_s_exact,V_first_V,V_second_V,difference_V_second_minus_first_V,difference_delta_Eeq_V,difference_delta_etaMid_V,difference_delta_phiL_V,difference_decomposition_residual_V
4.4,2.3444367807639916,2.3444357249240255,-0.0000010558399661,-0.0000010772880728,2.1876080726E-8,-4.279736E-10,-4.26E-16
4.45,2.3451000620331217,2.3450990206401006,-0.0000010413930211,-0.0000010625507474,2.1575388367E-8,-4.176615E-10,-5.67E-16
4.5,2.3457598292620103,2.345758802007329,-0.0000010272546813,-0.0000010481279058,2.1280606611E-8,-4.073823E-10,1.89E-16
4.55,2.346416140795952,2.34641512737931,-0.000001013416642,-0.0000010340111064,2.0991601344E-8,-3.971370E-10,5.6E-17
4.6,2.3470690533817966,2.347068053510955,-9.998708416E-7,-0.0000010201921407,2.0708230244E-8,-3.869314E-10,2.56E-16
4.65,2.3477186222285846,2.3477176356191465,-9.866094381E-7,-0.0000010066630273,2.0430371166E-8,-3.767823E-10,3.34E-16
4.7,2.348364901065298,2.34836392744048,-9.73624818E-7,-9.934160174E-7,2.0157888472E-8,-3.666895E-10,4.28E-16
4.75,2.349007942195824,2.3490069812862533,-9.609095707E-7,-9.804435832E-7,1.9890662009E-8,-3.566496E-10,9.1E-17
4.8,2.349647796551342,2.34964684809481,-9.48456532E-7,-9.677384127E-7,1.9628563215E-8,-3.466822E-10,-3.15E-16
4.85,2.3502845137402346,2.3502835774815085,-9.362587261E-7,-9.552934107E-7,1.9371473755E-8,-3.367891E-10,-5.5E-17
4.9,2.3509181420957024,2.3509172177863293,-9.243093731E-7,-9.431016905E-7,1.9119273278E-8,-3.269564E-10,5.22E-16
4.95,2.351548728721224,2.351547816119293,-9.12601931E-7,-9.311565676E-7,1.8871852970E-8,-3.172160E-10,-3.70E-16
5,2.3521763195338825,2.3521754184038755,-9.011300070E-7,-9.194515570E-7,1.8629103367E-8,-3.075533E-10,-6.7E-17
