# SDCP v7c computed IR (ORCA r2SCAN-3c freq -> mapspc, FWHM 25 cm-1), UNSCALED wavenumbers.
# Multiply wavenumber by 0.965 to compare with experiment (report kb/projects/sdcp_v7c_structure_spectroscopy_report_2026_07_10.md uses scaled values; e.g. O-H 3754 raw -> 3624 scaled).
# Uploaded by user 2026-07-12 (a429bee4-sdcp_v7c_IR.csv). A = 1000 - mapspc transmittance-like value.
# wavenumber_cm-1,A_neutral,A_doped,T_neutral,T_doped  (A = 1000 - mapspc value; FWHM 25; r2SCAN-3c freq)
1782.8900,0.0000,0.0000,1000.0000,1000.0000
1786.5100,0.0000,0.0000,1000.0000,1000.0000
1790.1300,0.0000,0.0000,1000.0000,1000.0000
1793.7400,0.0000,0.0000,1000.0000,1000.0000
1797.3600,0.0000,0.0000,1000.0000,1000.0000
1800.9800,0.0000,0.0000,1000.0000,1000.0000
1804.5900,0.0000,0.0000,1000.0000,1000.0000
1808.2100,0.0000,0.0000,1000.0000,1000.0000
1811.8300,0.0000,0.0000,1000.0000,1000.0000
1815.4400,0.0000,0.0000,1000.0000,1000.0000
1819.0600,0.0000,0.0000,1000.0000,1000.0000
1822.6800,0.0000,0.0000,1000.0000,1000.0000
1826.3000,0.0000,0.0000,1000.0000,1000.0000
1829.9100,0.0000,0.0000,1000.0000,1000.0000
1833.5300,0.0000,0.0000,1000.0000,1000.0000
1837.1500,0.0000,0.0000,1000.0000,1000.0000
1840.7600,0.0000,0.0000,1000.0000,1000.0000
1844.3800,0.0000,0.0000,1000.0000,1000.0000
1848.0000,0.0000,0.0000,1000.0000,1000.0000
1851.6100,0.0000,0.0000,1000.0000,1000.0000
1855.2300,0.0000,0.0000,1000.0000,1000.0000
1858.8500,0.0000,0.0000,1000.0000,1000.0000
1862.4600,0.0000,0.0000,1000.0000,1000.0000
1866.0800,0.0000,0.0000,1000.0000,1000.0000
1869.7000,0.0000,0.0000,1000.0000,1000.0000
1873.3100,0.0000,0.0000,1000.0000,1000.0000
1876.9300,0.0000,0.0000,1000.0000,1000.0000
1880.5500,0.0000,0.0000,1000.0000,1000.0000
1884.1600,0.0000,0.0000,1000.0000,1000.0000
1887.7800,0.0000,0.0000,1000.0000,1000.0000
1891.4000,0.0000,0.0000,1000.0000,1000.0000
1895.0100,0.0000,0.0000,1000.0000,1000.0000
1898.6300,0.0000,0.0000,1000.0000,1000.0000
1902.2500,0.0000,0.0000,1000.0000,1000.0000
1905.8700,0.0000,0.0000,1000.0000,1000.0000
1909.4800,0.0000,0.0000,1000.0000,1000.0000
1913.1000,0.0000,0.0000,1000.0000,1000.0000
1916.7200,0.0000,0.0000,1000.0000,1000.0000
1920.3300,0.0000,0.0000,1000.0000,1000.0000
1923.9500,0.0000,0.0000,1000.0000,1000.0000
1927.5700,0.0000,0.0000,1000.0000,1000.0000
1931.1800,0.0000,0.0000,1000.0000,1000.0000
1934.8000,0.0000,0.0000,1000.0000,1000.0000
1938.4200,0.0000,0.0000,1000.0000,1000.0000
1942.0300,0.0000,0.0000,1000.0000,1000.0000
1945.6500,0.0000,0.0000,1000.0000,1000.0000
1949.2700,0.0000,0.0000,1000.0000,1000.0000
1952.8800,0.0000,0.0000,1000.0000,1000.0000
1956.5000,0.0000,0.0000,1000.0000,1000.0000
1960.1200,0.0000,0.0000,1000.0000,1000.0000
1963.7300,0.0000,0.0000,1000.0000,1000.0000
