E_minus_VBM,Li,P,S,Cl,B,O
5.1800,26.9632,3.6041,8.3595,2.8331,0.9755,0.6249
5.2000,27.7877,3.6037,8.5377,2.9039,0.9736,0.6284
5.2200,28.5910,3.6010,8.7113,2.9692,0.9714,0.6320
5.2400,29.3650,3.5948,8.8773,3.0285,0.9690,0.6355
5.2600,30.1020,3.5844,9.0333,3.0813,0.9662,0.6388
5.2800,30.7945,3.5692,9.1770,3.1271,0.9628,0.6419
5.3000,31.4348,3.5489,9.3061,3.1655,0.9587,0.6445
5.3200,32.0165,3.5233,9.4187,3.1962,0.9536,0.6467
5.3400,32.5355,3.4923,9.5137,3.2188,0.9476,0.6483
5.3600,32.9914,3.4560,9.5909,3.2334,0.9407,0.6492
5.3800,33.3865,3.4146,9.6508,3.2400,0.9331,0.6494
5.4000,33.7247,3.3686,9.6943,3.2389,0.9252,0.6489
5.4200,34.0101,3.3182,9.7223,3.2302,0.9170,0.6475
5.4400,34.2460,3.2637,9.7356,3.2140,0.9090,0.6453
5.4600,34.4362,3.2056,9.7347,3.1907,0.9013,0.6421
5.4800,34.5849,3.1441,9.7203,3.1606,0.8936,0.6379
5.5000,34.6972,3.0797,9.6932,3.1246,0.8860,0.6328
5.5200,34.7789,3.0130,9.6540,3.0833,0.8781,0.6268
5.5400,34.8355,2.9446,9.6035,3.0378,0.8696,0.6197
5.5600,34.8727,2.8751,9.5422,2.9888,0.8603,0.6118
5.5800,34.8963,2.8050,9.4714,2.9372,0.8500,0.6030
5.6000,34.9134,2.7350,9.3929,2.8840,0.8388,0.5935
5.6200,34.9323,2.6661,9.3092,2.8304,0.8269,0.5835
5.6400,34.9631,2.5993,9.2235,2.7776,0.8145,0.5734
5.6600,35.0157,2.5358,9.1391,2.7271,0.8021,0.5634
5.6800,35.0987,2.4765,9.0589,2.6800,0.7898,0.5538
5.7000,35.2178,2.4222,8.9851,2.6371,0.7780,0.5449
5.7200,35.3748,2.3734,8.9192,2.5987,0.7669,0.5369
5.7400,35.5690,2.3303,8.8622,2.5646,0.7567,0.5299
5.7600,35.7975,2.2933,8.8146,2.5347,0.7477,0.5240
5.7800,36.0569,2.2625,8.7770,2.5085,0.7400,0.5193
5.8000,36.3438,2.2379,8.7498,2.4856,0.7338,0.5159
5.8200,36.6544,2.2196,8.7330,2.4658,0.7293,0.5140
5.8400,36.9839,2.2071,8.7257,2.4485,0.7265,0.5132
5.8600,37.3264,2.1995,8.7269,2.4332,0.7251,0.5135
5.8800,37.6753,2.1960,8.7349,2.4195,0.7251,0.5145
5.9000,38.0243,2.1956,8.7480,2.4069,0.7263,0.5161
5.9200,38.3683,2.1974,8.7649,2.3949,0.7286,0.5178
5.9400,38.7049,2.2007,8.7844,2.3834,0.7318,0.5197
5.9600,39.0344,2.2048,8.8057,2.3725,0.7357,0.5214
5.9800,39.3598,2.2094,8.8278,2.3626,0.7404,0.5230
6.0000,39.6859,2.2138,8.8503,2.3541,0.7457,0.5243
6.0200,40.0180,2.2177,8.8724,2.3475,0.7516,0.5254
6.0400,40.3608,2.2207,8.8936,2.3434,0.7579,0.5262
6.0600,40.7172,2.2226,8.9135,2.3420,0.7646,0.5268
6.0800,41.0880,2.2236,8.9316,2.3434,0.7719,0.5272
6.1000,41.4720,2.2237,8.9474,2.3474,0.7797,0.5276
6.1200,41.8671,2.2232,8.9607,2.3536,0.7881,0.5281
6.1400,42.2706,2.2226,8.9708,2.3617,0.7973,0.5288
6.1600,42.6801,2.2219,8.9775,2.3715,0.8074,0.5301
6.1800,43.0936,2.2216,8.9807,2.3826,0.8184,0.5318
6.2000,43.5098,2.2217,8.9807,2.3948,0.8304,0.5342
6.2200,43.9274,2.2223,8.9782,2.4078,0.8433,0.5370
6.2400,44.3451,2.2233,8.9738,2.4214,0.8572,0.5402
6.2600,44.7608,2.2247,8.9683,2.4352,0.8719,0.5437
6.2800,45.1710,2.2264,8.9619,2.4490,0.8873,0.5473
6.3000,45.5690,2.2278,8.9542,2.4622,0.9033,0.5509
6.3200,45.9442,2.2283,8.9438,2.4742,0.9193,0.5541
6.3400,46.2810,2.2270,8.9283,2.4843,0.9349,0.5567
6.3600,46.5589,2.2224,8.9044,2.4914,0.9493,0.5580
6.3800,46.7544,2.2131,8.8682,2.4943,0.9617,0.5578
6.4000,46.8428,2.1977,8.8156,2.4919,0.9713,0.5554
6.4200,46.7984,2.1750,8.7424,2.4827,0.9774,0.5506
6.4400,46.5939,2.1441,8.6442,2.4654,0.9793,0.5431
6.4600,46.1942,2.1037,8.5151,2.4381,0.9762,0.5327
6.4800,45.5495,2.0525,8.3468,2.3984,0.9671,0.5190
6.5000,44.5886,1.9882,8.1273,2.3424,0.9504,0.5017
