"# Slide: Step 3 - volume change vs relative energy, one row per structure.",,,
# dV_pct = |screen_dV_over_V0| x 100.  dE_per_atom = screen_de_per_atom.,,,
# ** dE compares structures INSIDE this screen only ** - not a formation energy or hull distance.,,,
"# group: 'carried_forward' if dV_pct <= 25, else 'dropped'.",,,
# In Origin: plot dE vs dV as two scatter series split by the group column.,,,
dV_pct,dE_per_atom,group,dopant
6.463,-0.8505,carried_forward,WO3+Clrich
6.464,-0.8505,carried_forward,WO3+Clrich
6.470,-0.8505,carried_forward,WO3+Clrich
6.480,-0.3939,carried_forward,YCl3
6.480,-0.3939,carried_forward,YCl3
6.480,-0.3939,carried_forward,YCl3
6.485,-0.5582,carried_forward,HfCl4
6.492,-0.7850,carried_forward,B2O3+Clrich
6.498,-0.7850,carried_forward,B2O3+Clrich
6.540,-0.7851,carried_forward,B2O3+Clrich
6.628,-0.7719,carried_forward,Al2O3+Clrich
6.645,-0.7719,carried_forward,Al2O3+Clrich
6.647,-0.8421,carried_forward,La2O3+Clrich
6.703,-0.7719,carried_forward,Al2O3+Clrich
6.785,-0.4340,carried_forward,ZnO+Clrich
6.787,-0.8220,carried_forward,Nd2O3+Clrich
6.795,-0.8220,carried_forward,Nd2O3+Clrich
6.797,-0.8220,carried_forward,Nd2O3+Clrich
6.802,-0.8416,carried_forward,La2O3+Clrich
6.802,-0.8416,carried_forward,La2O3+Clrich
6.877,-0.9399,carried_forward,Y2O3+Clrich
6.893,-0.3874,carried_forward,LiBr
6.921,-0.3581,carried_forward,MgI2
6.932,-0.3582,carried_forward,MgI2
6.958,-0.5315,carried_forward,ZrCl4
